Date,Account,Deposits,Withdrawals,TotalBalance
2075-08-14,Savings,0,0,3888.984004306543
2076-08-19,Traditional 401k,0,0,0
2076-08-19,Roth 401k,0,0,37514.51343084214
2076-08-19,Roth IRA,0,0,47512.583725057004
2076-08-19,Savings,0,0,3936.7105276981774
2077-08-25,Traditional 401k,0,0,0
2077-08-25,Roth 401k,0,0,37514.51343084214
2077-08-25,Roth IRA,0,0,47512.583725057004
2077-08-25,Savings,0,0,3936.7105276981774
2078-08-31,Traditional 401k,0,0,0
2078-08-31,Roth 401k,0,0,35743.625999766016
2078-08-31,Roth IRA,0,0,48095.66929086026
2078-08-31,Savings,0,0,3985.022762173357
2079-09-06,Traditional 401k,0,0,0
2079-09-06,Roth 401k,0,0,34563.0343790486
2079-09-06,Roth IRA,0,0,48488.36302638329
2079-09-06,Savings,0,0,4017.5598595398246
2080-09-11,Traditional 401k,0,0,0
2080-09-11,Roth 401k,0,0,33382.442758331184
2080-09-11,Roth IRA,0,0,48884.26304580241
2080-09-11,Savings,0,0,4050.362617297265
2081-09-17,Traditional 401k,0,0,0
2081-09-17,Roth 401k,0,0,32777.97984852387
2081-09-17,Roth IRA,0,0,49083.423584523436
2081-09-17,Savings,0,0,4066.864295968796
2082-09-23,Traditional 401k,0,0,0
2082-09-23,Roth 401k,0,0,30964.591119101933
2082-09-23,Roth IRA,0,0,49685.78686533255
2082-09-23,Savings,0,0,4116.773808000015
2083-09-29,Traditional 401k,0,0,0
2083-09-29,Roth 401k,0,604.4629098073145,30360.12820929462
2083-09-29,Roth IRA,202.4260459773343,0,49888.212911309885
2083-09-29,Savings,16.772246083073462,0,4133.546054083089
2084-10-04,Traditional 401k,0,0,0
2084-10-04,Roth 401k,0,0,29151.202389679995
2084-10-04,Roth IRA,0,0,50295.5424895352
2084-10-04,Savings,0,0,4167.295821263121
2085-10-10,Traditional 401k,0,0,0
2085-10-10,Roth 401k,0,0,27942.27657006537
2085-10-10,Roth IRA,0,0,50706.197851059114
2085-10-10,Savings,0,0,4201.321150096465
2086-10-16,Traditional 401k,0,0,0
2086-10-16,Roth 401k,0,0,27337.813660258056
2086-10-16,Roth IRA,0,0,50912.78117770249
2086-10-16,Savings,0,0,4218.437852516819
2087-10-22,Traditional 401k,0,0,0
2087-10-22,Roth 401k,0,618.9700196426901,26099.87362097267
2087-10-22,Roth IRA,208.27004770231176,0,51328.47619809256
2087-10-22,Savings,17.25645766053125,0,4252.880748162131
2088-10-27,Traditional 401k,0,0,0
2088-10-27,Roth 401k,0,0,25480.903601329977
2088-10-27,Roth IRA,0,0,51537.594763749636
2088-10-27,Savings,0,0,4270.207510767238
2089-11-02,Traditional 401k,0,0,0
2089-11-02,Roth 401k,0,0,24242.96356204459
2089-11-02,Roth IRA,0,0,51958.39129088092
2089-11-02,Savings,0,0,4305.073097702325
2090-11-08,Traditional 401k,0,0,0
2090-11-08,Roth 401k,0,618.9700196426901,22386.053503116513
2090-11-08,Roth IRA,213.4132924829646,0,52596.036849358374
2090-11-08,Savings,17.68260720423301,0,4357.9059639914785
2091-11-14,Traditional 401k,0,0,0
2091-11-14,Roth 401k,0,0,21767.08348347382
2091-11-14,Roth IRA,0,0,52810.31961401199
2091-11-14,Savings,0,0,4375.660612326279
2092-11-19,Traditional 401k,0,0,0
2092-11-19,Roth 401k,0,0,21148.113463831127
2092-11-19,Roth IRA,0,0,53025.47539317351
2092-11-19,Savings,0,0,4393.487595296131
2093-11-25,Traditional 401k,0,0,0
2093-11-25,Roth 401k,0,0,19910.17342454574
2093-11-25,Roth IRA,0,0,53458.42023658765
2093-11-25,Savings,0,0,4429.359745142661
2094-12-01,Traditional 401k,0,0,0
2094-12-01,Roth 401k,0,618.9700196426901,18672.233385260355
2094-12-01,Roth IRA,218.68355008742748,0,53894.900007997225
2094-12-01,Savings,18.11928054355782,0,4465.524785570239
2095-12-07,Traditional 401k,0,0,0
2095-12-07,Roth 401k,0,0,18053.263365617662
2095-12-07,Roth IRA,0,0,54114.474501937155
2095-12-07,Savings,0,0,4483.717886305602
2096-12-12,Traditional 401k,0,0,0
2096-12-12,Roth 401k,0,0,16815.323326332276
2096-12-12,Roth IRA,0,0,54556.31085542501
2096-12-12,Savings,0,0,4520.3267525874435
2097-12-18,Traditional 401k,0,0,0
2097-12-18,Roth 401k,0,0,16196.353306689583
2097-12-18,Roth IRA,0,0,54778.58001902921
2097-12-18,Savings,0,0,4538.743123320022
2098-12-24,Traditional 401k,0,0,0
2098-12-24,Roth 401k,0,0,14928.702706461358
2098-12-24,Roth IRA,0,0,55225.83869182633
2098-12-24,Savings,0,0,4575.801262191056
2099-12-30,Traditional 401k,0,0,0
2099-12-30,Roth 401k,0,0,13661.052106233132
2099-12-30,Roth IRA,0,0,55676.74916283222
2099-12-30,Savings,0,0,4613.161975060941
2101-01-05,Traditional 401k,0,0,0
2101-01-05,Roth 401k,0,0,12393.401506004906
2101-01-05,Roth IRA,0,0,56131.34124841706
2101-01-05,Savings,0,0,4650.827732399798
2102-01-11,Traditional 401k,0,0,0
2102-01-11,Roth 401k,0,0,11759.576205890793
2102-01-11,Roth IRA,0,0,56360.02728080532
2102-01-11,Savings,0,0,4669.77578027802
2103-01-17,Traditional 401k,0,0,0
2103-01-17,Roth 401k,0,0,9858.100305548454
2103-01-17,Roth IRA,0,0,57051.69074802242
2103-01-17,Savings,0,0,4727.0843633846425
2104-01-23,Traditional 401k,0,0,0
2104-01-23,Roth 401k,0,0,9224.275005434341
2104-01-23,Roth IRA,0,0,57284.126398196284
2104-01-23,Savings,0,0,4746.34309021682
2105-01-28,Traditional 401k,0,0,0
2105-01-28,Roth 401k,0,0,8590.449705320229
2105-01-28,Roth IRA,0,0,57517.509019980695
2105-01-28,Savings,0,0,4765.680279486028
2106-02-03,Traditional 401k,0,0,0
2106-02-03,Roth 401k,0,0,7322.799105092003
2106-02-03,Roth IRA,0,0,57987.130626417675
2106-02-03,Savings,0,0,4804.591325300613
2107-02-09,Traditional 401k,0,0,0
2107-02-09,Roth 401k,0,0,6055.148504863777
2107-02-09,Roth IRA,0,0,58460.58662097386
2107-02-09,Savings,0,0,4843.820073813992
2108-02-15,Traditional 401k,0,0,0
2108-02-15,Roth 401k,0,633.8253001141147,4787.497904635544
2108-02-15,Roth IRA,239.146023505542,0,58937.90831083795
2108-02-15,Savings,19.814722639361026,0,4883.369119019792
